Compound,Abbreviation,param_cd,Power plant emissions,Residential heating,Coal average,Coke oven emissions,Diesel vehicle,Gasoline vehicle,Traffic tunnel air,Vehicle traffic avg,Used motor oil 1,Used motor oil 2,Pine combustion 1,Pine combustion 2,Oak combustion,Fuel oil combustion,Tire particles,Asphalt,CT T0,CT T45,CT T376,CT dust 6,CT dust 7,Creosote railway ties,Creosote product
anthracene,Anth,P63180,0.016,0.07,0.033,0.02,0.036,0.007,0.02,0.026,0.157,0.093,0.016,0.007,0.011,0.056,0.006,0.033,0.081,0.009,0.003,0.008,0.007,0.059,0.058
benz[a]anthracene,BaA,P63610,0.099,0.044,0.087,0.111,0.028,0.063,0.063,0.046,0.064,0.057,0.084,0.086,0.039,0.017,0.022,0.032,0.064,0.062,0.056,0.059,0.058,0.052,0.042
benzo[a]pyrene,BaP,P63183,0.035,0.034,0.061,0.1,0.027,0.058,0.073,0.048,0.074,0.05,0.049,0.085,0.043,0.058,0.027,0.076,0.041,0.064,0.075,0.07,0.067,0.028,0.018
benzo[b]fluoranthene,BbF,P64111,0.073,0.064,0.099,0.127,0.044,0.074,0.088,0.064,0.036,0.024,0.054,0.072,0.039,0.034,0.025,0.068,0.063,0.122,0.137,0.12,0.114,0.025,0.02
benzo[e]pyrene,BeP,P64112,0.061,0.025,0.063,0.109,0.028,0.079,0.065,0.049,0.074,0.036,0.031,0.041,0.024,0.032,0.064,0.086,0.028,0.054,0.07,0.064,0.06,0.028,0.018
"benzo[g,h,i]perylene",BghiP,P64113,0.039,0.016,0.039,0.07,0.027,0.128,0.109,0.071,0.052,0.038,0.03,0.044,0.024,0.067,0.156,0.109,0.009,0.031,0.063,0.05,0.046,0.012,0.005
benzo[k]fluoranthene,BkF,P64114,0.015,0.03,0.046,0.082,0.02,0.059,0.061,0.042,0.007,0.016,0.046,0.07,0.049,0.019,0.017,0.046,0.028,0.047,0.054,0.045,0.043,0.014,0.018
chrysene,Ch,P64115,0.192,0.064,0.121,0.118,0.09,0.092,0.1,0.096,0.031,0.05,0.078,0.134,0.531,0.016,0.083,0.082,0.066,0.104,0.122,0.1,0.097,0.057,0.034
fluoranthene,FluA,P63208,0.16,0.216,0.139,0.077,0.26,0.139,0.102,0.167,0.077,0.127,0.271,0.169,0.075,0.197,0.14,0.094,0.207,0.216,0.183,0.202,0.215,0.227,0.24
"indeno[1,2,3-cd]pyrene",IndPy,P64118,0.026,0.018,0.033,0.037,0.026,0.032,0.094,0.055,0.046,0.026,0.036,0.012,0.009,0.153,0.018,0.049,0.011,0.033,0.061,0.047,0.044,0.009,0.006
phenanthrene,Phen,P63224,0.143,0.333,0.164,0.072,0.244,0.029,0.103,0.165,0.27,0.281,0.046,0.064,0.056,0.166,0.045,0.201,0.257,0.096,0.024,0.083,0.09,0.334,0.367
pyrene,Pyr,P63227,0.14,0.085,0.115,0.078,0.171,0.241,0.123,0.171,0.111,0.204,0.259,0.217,0.099,0.184,0.397,0.124,0.144,0.162,0.152,0.151,0.159,0.156,0.174
