pcode,Parameter code,schedule,Parameter,Abbreviation,EPApriority16,Macdonald_SQG,VM_sourceprofiles,TEC,PEC,Ingersoll_09_included,Coc.pah.fcv,Coc.pah.max,epa.emap,parentAlkyl,molwt_highlow,molwt,benzeneRings,sourceProfile12,creosoteProfile11
p64095,64095,5507,"1,2,4-trichlorobenzene",,,,,,,,,,,,LMW,181.4,,,
p64097,64097,5507,"1,2-dimethylnaphthalene",,,,,,,,,,,,LMW,156.2,,,
p64099,64099,5507,"1,6-dimethylnaphthalene",,,,,,,,,,,,LMW,156.2,,,
p64100,64100,5507,1-methyl-9h-fluorene,,,,,,,,612,49700,0,,LMW,180.2,,,
p64101,64101,5507,1-methylphenanthrene,,,,,,,,670,24100,0,,LMW,192.3,3,,
p64102,64102,5507,1-methylpyrene,,,,,,,,,,,,HMW,216.2,,,
p64103,64103,5507,"2,3,6-trimethylnaphthalene",,,,,,,,,,,,LMW,170.2,,,
p63167,63167,5507,"2,6-dimethylnaphthalene",,,,,,,,513,33800,0,,LMW,156.2,,,
p64104,64104,5507,2-ethylnaphthalene,,,,,,,,509,129900,0,,LMW,156.2,,,
p90754,90754,5507,2-fluorobiphenyl (surrogate),,,,,,,,,,,,,,,,
p64105,64105,5507,2-methylanthracene,,,,,,,,667,2420,0,,LMW,192.3,3,,
p64106,64106,5507,"4,5-methylenephenanthrene",,,,,,,,,,,,LMW,190.2,,,
p64107,64107,5507,fluorene,Flu,TRUE,TRUE,,77.4,536,1,538,26000,1,,LMW,166.2,2,,x
p64108,64108,5507,acenaphthene,Ace,TRUE,,,,,1,491,33400,1,,LMW,154.2,2,,
p64109,64109,5507,acenaphthylene,Acen,TRUE,,,,,1,452,24000,1,,LMW,152.2,2,,x
p63180,63180,5507,anthracene,Anth,TRUE,TRUE,TRUE,57.2,845,1,594,1300,1,parent,LMW,178.2,3,x,x
p63181,63181,5507,anthraquinone,,,,,,,,,,,,HMW,208.2,,,
